"","temp_ssp2_20","temp_ssp4_20","chl_ssp2_20","chl_ssp4_20","mld_ssp2_20","mld_ssp4_20","temp_ssp2_50","temp_ssp4_50","chl_ssp2_50","chl_ssp4_50","mld_ssp2_50","mld_ssp4_50","temp_ssp2_90","temp_ssp4_90","chl_ssp2_90","chl_ssp4_90","mld_ssp2_90","mld_ssp4_90","occurance_status","long","lat"
"9903",28.6329986762294,28.6429185863781,0.0897109188187155,0.111040115982884,22.2903857241796,21.797913633633,29.2848787548207,29.3315728112773,0.101099084490547,0.120681257712355,22.8759555196276,21.867120625706,29.8467363868942,30.1314248696722,0.100193450622969,0.1244796427156,23.1436438956395,23.0958457664174,"ABSENT",-83.175,16.275
"9904",28.4045483793264,28.4704083060748,0.0977474898148357,0.0994459755919089,33.1980117157988,33.5368762063506,29.1045585214771,29.3049398585819,0.0993883647034325,0.103848770763444,33.9936543855615,34.3182250599764,29.7147776000932,30.1950632510609,0.10216657820427,0.106765883032204,34.5746784483046,35.0026650847417,"ABSENT",-82.075,20.875
"9905",26.9825040060353,27.1296602707963,0.138616089680981,0.139797981753261,27.5773267376803,28.0935718559636,27.7232299384403,27.999325535268,0.132194927666936,0.142918866631576,26.9064328078835,29.5906278271346,28.3207817490739,28.9453146380991,0.139201550118064,0.124372674143692,29.024984929218,29.2170145886602,"ABSENT",-86.375,26.925
"9906",26.716109606107,26.7999642787246,0.121238085074792,0.133141232225577,28.7585881392028,28.8723026529208,27.4565205002684,27.6348415245617,0.128842129364261,0.157535084497881,29.4417880735491,28.9851423768283,28.0233328803653,28.4767278362794,0.134299061147527,0.153340257677486,30.3066746441647,30.3406018474483,"ABSENT",-94.275,24.725
"9907",26.3057573607334,26.3811989583018,0.209156816056867,0.230173787298007,31.4238909463298,31.13156968547,27.061829599412,27.2043307292676,0.204464523751248,0.234819408765607,31.3439633913284,31.5542709715452,27.6440719702524,28.0957332811716,0.230491984153612,0.132046892796006,33.7522983773768,33.6918489108764,"ABSENT",-93.325,26.825
"9908",27.0614688119879,27.0704647958847,0.19128784041656,0.191857282897659,20.8551263047282,20.5197538177605,27.7472268860203,27.9120376954915,0.191999068344386,0.192768815938088,20.7966469558166,20.6754507524257,28.2766621141905,28.6623310361886,0.19475173318711,0.195192148713878,20.9669020556861,21.2665163268109,"ABSENT",-91.375,21.675
"9909",26.817775799739,26.8697929889088,0.113000350126338,0.113737347005977,29.4234572424027,29.9640339270103,27.5468375963876,27.7174563056481,0.118685243709638,0.131901750989702,29.9799896512713,29.7082789197539,28.1141783017716,28.5448465568927,0.122070729099244,0.134030880685379,30.6015565031767,30.4059820746102,"ABSENT",-92.975,24.375
"9910",28.5996369586786,28.648216265104,0.083018611433408,0.08277776768838,30.4360744928928,31.0274224590135,29.2927864466099,29.4692179544091,0.0843875261999183,0.0853621938779192,31.4334497797268,32.3208983851029,29.9026548986741,30.3469820411364,0.0852480479067658,0.0877459118722028,32.2114739043819,32.7905582516914,"ABSENT",-81.975,19.325
"9911",23.679529689539,23.8651424257409,0.353920213703776,0.392640793557708,11.5068055729771,11.3960675700898,24.4935985870603,24.6692220555654,0.392572082352206,0.40575780790371,11.5094001116028,11.350682640598,25.0641226600687,25.5259192176418,0.395824769969306,0.40149120378299,12.4222832013536,11.6636512865073,"ABSENT",-96.925,27.875
"9912",28.4445247188008,28.4541451039463,0.0842885848746496,0.0886966933507836,36.4768924302724,36.3784152071662,29.1135809813237,29.2199167472817,0.0841662579880744,0.0843178821119997,36.8688091539082,36.8349720152086,29.6975792152209,30.0655707859829,0.0846080089235166,0.0848935540112064,36.9864494639213,36.9553566258338,"ABSENT",-85.275,20.575
"9913",25.6378515415455,25.8678215038252,0.223832308431103,0.273500025321479,29.3014623855543,30.3254343362747,26.445215215347,26.6538787548353,0.260467317146755,0.293146565309657,29.9774548744381,31.6167252527419,27.0382304314309,27.5117720024485,0.271967220652965,0.261155401985649,33.0013749678712,32.5063337615789,"ABSENT",-95.475,27.625
"9914",27.3645517233729,27.3980027501878,0.0887458083545088,0.0874529067349278,21.3375271658442,21.5520779361889,28.083166239873,28.2874858988617,0.090373672731528,0.0906360105568039,21.1812957417729,21.6092646636236,28.6378055532716,29.1105769464945,0.0923850163068052,0.0932743692517855,22.1541095433878,23.444417509798,"ABSENT",-93.525,21.225
"9915",26.7712622136532,26.8156939537412,0.135244992994756,0.14050859051413,25.7728432975415,26.262834324594,27.4760548959014,27.6271541581758,0.156866134288389,0.208650218983144,24.7919770806255,25.9724040944413,28.056946351849,28.4831456275086,0.166663882747862,0.207108691876802,26.421261262211,26.1446905657539,"ABSENT",-88.725,26.125
